,Bedrooms,Capacity,Price,Review_Count,Room_Type,Star_Rating,Avg_Price,log_Price,log_Avg_Price,log_Review_Count,Has_Star_Rating,log_Capacity,City_DA,City_DC,City_LA,City_NY,City_SF
12,1.0,1,20,11,0,5.0,92.9183006536,2.99573227355,4.41407475997,2.3978952728,1,0.0,0.0,0.0,0.0,1.0,0.0
13,1.0,2,75,25,1,4.5,92.9183006536,4.31748811354,4.41407475997,3.21887582487,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
14,1.0,2,90,16,1,5.0,92.9183006536,4.49980967033,4.41407475997,2.77258872224,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
15,1.0,3,100,8,2,5.0,92.9183006536,4.60517018599,4.41407475997,2.07944154168,1,1.09861228867,0.0,0.0,0.0,1.0,0.0
16,1.0,2,60,6,1,4.5,92.9183006536,4.09434456222,4.41407475997,1.79175946923,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
17,1.0,2,115,5,2,5.0,92.9183006536,4.74493212836,4.41407475997,1.60943791243,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
0,1.0,2,26,1,1,0.0,92.9183006536,3.25809653802,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
1,1.0,2,120,23,1,5.0,92.9183006536,4.78749174278,4.41407475997,3.13549421593,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
2,1.0,2,110,0,1,0.0,92.9183006536,4.70048036579,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
3,1.0,6,203,48,2,5.0,92.9183006536,5.31320597904,4.41407475997,3.87120101091,1,1.79175946923,0.0,0.0,0.0,1.0,0.0
4,1.0,1,35,3,1,4.5,92.9183006536,3.55534806149,4.41407475997,1.09861228867,1,0.0,0.0,0.0,0.0,1.0,0.0
5,1.0,3,175,2,2,0.0,92.9183006536,5.16478597392,4.41407475997,0.69314718056,0,1.09861228867,0.0,0.0,0.0,1.0,0.0
6,1.0,1,29,3,1,4.5,92.9183006536,3.36729582999,4.41407475997,1.09861228867,1,0.0,0.0,0.0,0.0,1.0,0.0
7,1.0,1,75,6,1,5.0,92.9183006536,4.31748811354,4.41407475997,1.79175946923,1,0.0,0.0,0.0,0.0,1.0,0.0
8,2.0,2,130,0,2,0.0,92.9183006536,4.86753445046,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
9,1.0,2,85,5,1,5.0,92.9183006536,4.44265125649,4.41407475997,1.60943791243,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
