efid,id,salesArea,score,scoreAlt,smartwayScore,standard,stdText
6GMXT02.8189,22168,7,5.0,-1.0,-1,L2,LEV II
6GMXT02.8189,22169,3,5.0,-1.0,-1,B5,BIN 5
6GMXT02.8189,22169,7,5.0,-1.0,-1,L2,LEV II
6GMXT03.5187,22170,9,1.0,-1.0,-1,B9,BIN 9
6GMXT03.5187,22171,9,1.0,-1.0,-1,B9,BIN 9
6GMXT03.5187,22172,9,1.0,-1.0,-1,B9,BIN 9
6GMXT02.8189,22173,3,5.0,-1.0,-1,B5,BIN 5
6GMXT02.8189,22173,7,5.0,-1.0,-1,L2,LEV II
6GMXT02.8189,22174,3,5.0,-1.0,-1,B5,BIN 5
6GMXT02.8189,22174,7,5.0,-1.0,-1,L2,LEV II
6GMXT03.5187,22175,9,1.0,-1.0,-1,B9,BIN 9
6GMXT06.0387,22176,9,2.0,-1.0,-1,B8,BIN 8
6GMXT06.0387,22177,9,2.0,-1.0,-1,B8,BIN 8
6CRXT03.75S2,22178,3,1.0,-1.0,-1,B10,BIN 10
6CRXT03.75S2,22178,7,1.0,-1.0,-1,L1,LEV
6CRXT03.75S2,22178,8,1.0,-1.0,-1,L1,LEV
6CRXT03.75S2,22179,3,1.0,-1.0,-1,B10,BIN 10
6CRXT03.75S2,22179,7,1.0,-1.0,-1,L1,LEV
6CRXT03.75S2,22179,8,1.0,-1.0,-1,L1,LEV
6CRXT04.75S2,22180,3,1.0,-1.0,-1,B10,BIN 10
6CRXT04.75S2,22180,7,1.0,-1.0,-1,L1,LEV
6CRXT04.75S2,22181,3,1.0,-1.0,-1,B10,BIN 10
6CRXT04.75S2,22181,7,1.0,-1.0,-1,L1,LEV
6CRXT03.75S0,22182,3,1.0,-1.0,-1,B10,BIN 10
6CRXT03.75S0,22182,7,1.0,-1.0,-1,L1,LEV
6CRXT03.75S0,22182,8,1.0,-1.0,-1,L1,LEV
6CRXT03.75S0,22183,3,1.0,-1.0,-1,B10,BIN 10
6CRXT03.75S0,22183,7,1.0,-1.0,-1,L1,LEV
6CRXT03.75S0,22183,8,1.0,-1.0,-1,L1,LEV
6CRXT04.75S0,22184,3,1.0,-1.0,-1,B10,BIN 10
6CRXT04.75S0,22184,7,1.0,-1.0,-1,L1,LEV
6CRXT04.75S0,22184,8,1.0,-1.0,-1,L1,LEV
6CRXT04.76U0,22184,1,1.0,-1.0,-1,B10,BIN 10
6CRXT04.75S0,22185,3,1.0,-1.0,-1,B10,BIN 10
6CRXT04.75S0,22185,7,1.0,-1.0,-1,L1,LEV
6CRXT04.75S0,22185,8,1.0,-1.0,-1,L1,LEV
6CRXT04.76U0,22185,1,1.0,-1.0,-1,B10,BIN 10
6CRXT05.75J0,22186,1,2.0,-1.0,-1,B8,BIN 8
6FMXT04.2PH4,22189,8,1.0,-1.0,-1,L1,LEV
6FMXT04.2PH4,22189,1,2.0,-1.0,-1,B8,BIN 8
6FMXT04.2PH4,22190,8,1.0,-1.0,-1,L1,LEV
6FMXT04.2PH4,22190,1,2.0,-1.0,-1,B8,BIN 8
6FMXT04.6RHC,22191,8,1.0,-1.0,-1,L1,LEV
6FMXT04.6RHC,22191,1,2.0,-1.0,-1,B8,BIN 8
6FMXT05.4RI7,22192,8,1.0,-1.0,-1,L1,LEV
6FMXT05.4RI7,22192,1,2.0,-1.0,-1,B8,BIN 8
6FMXT02.31J2,22193,8,1.0,-1.0,-1,L1,LEV
6FMXT02.31J2,22193,1,2.0,-1.0,-1,B8,BIN 8
6FMXT02.31J2,22194,8,1.0,-1.0,-1,L1,LEV
6FMXT02.31J2,22194,1,2.0,-1.0,-1,B8,BIN 8
6FMXT03.01HA,22195,8,1.0,-1.0,-1,L1,LEV
6FMXT03.01HA,22195,1,2.0,-1.0,-1,B8,BIN 8
6FMXT03.02KA,22195,1,1.0,-1.0,-1,B9,BIN 9
6FMXT03.02KA,22195,8,1.0,-1.0,-1,L1,LEV
6FMXT03.01HA,22196,8,1.0,-1.0,-1,L1,LEV
6FMXT03.01HA,22196,1,2.0,-1.0,-1,B8,BIN 8
6FMXT03.02KA,22196,1,1.0,-1.0,-1,B9,BIN 9
6FMXT03.02KA,22196,8,1.0,-1.0,-1,L1,LEV
6FMXT04.02E2,22197,7,5.0,-1.0,-1,L2,LEV II
6FMXT04.02KM,22197,1,1.0,-1.0,-1,B9,BIN 9
6FMXT04.02KM,22197,8,1.0,-1.0,-1,L1,LEV
6FMXT04.02KM,22198,1,1.0,-1.0,-1,B9,BIN 9
6FMXT04.02KM,22198,8,1.0,-1.0,-1,L1,LEV
6GMXT05.3378,22199,9,2.0,-1.0,-1,B8,BIN 8
6GMXT04.3181,22200,3,1.0,-1.0,-1,B10,BIN 10
6GMXT04.3181,22200,7,1.0,-1.0,-1,L1,LEV
6GMXT04.3181,22201,3,1.0,-1.0,-1,B10,BIN 10
6GMXT04.3181,22201,7,1.0,-1.0,-1,L1,LEV
6GMXT05.3379,22202,9,2.0,-1.0,-1,B8,BIN 8
6GMXT05.3379,22203,9,2.0,-1.0,-1,B8,BIN 8
6GMXT05.3379,22204,9,2.0,-1.0,-1,B8,BIN 8
6GMXT06.2390,22205,9,2.0,-1.0,-1,B8,BIN 8
6GMXT02.8189,22206,3,5.0,-1.0,-1,B5,BIN 5
